11.0000    0 -579477.25 0.00000000 123.18954 -117.77068 0.00000000 -6.1595731 0.00000000 6.1594236 12.318947 18.478347 24.637745 30.797491 36.956834 43.116283 49.275674 55.435213 61.594712 67.754189 73.913724 80.073132 86.232599 92.392086 98.551564 104.71104 110.87052 117.02998 112.16713 117.53318 129.51146 145.91932 155.32856 165.36467 175.92434 186.92167 193.69988 200.59619 207.59849 214.69581 221.87819 229.13662 236.46292 243.84959 253.78080 263.79282 284.00935
12.0000    0 -579211.19 0.00000000 147.92096 -60.920425 0.00000000 -7.3957224 0.00000000 7.3962943 14.792119 22.188122 29.584182 36.980367 44.376264 51.772332 59.168525 66.564685 73.960694 81.356562 88.752698 96.148706 103.54489 110.94083 118.33692 125.73297 133.12904 140.52510 140.04180 147.91877 161.28573 178.39053 187.97272 198.09518 208.67128 219.62843 226.35982 233.19468 240.12257 247.13395 254.22020 261.37342 268.58645 275.85271 285.61355 295.44550 315.27817
13.0000    0 -577669.56 0.00000000 153.30650 55.926483 0.00000000 -7.6653781 0.00000000 7.6652336 15.330598 22.995982 30.661416 38.326746 45.991829 53.657092 61.322432 68.987881 76.653170 84.318707 91.983891 99.649099 107.31450 114.97992 122.64519 130.31048 137.97580 145.64113 154.41814 168.06140 184.98733 204.18016 214.40439 224.95798 235.78734 246.84723 253.57757 260.36961 267.21676 274.11291 281.05253 288.03054 295.04232 302.08360 311.51116 320.97590 339.98760
14.0000    0 -581759.19 0.00000000 186.31313 -173.79811 0.00000000 -9.3155737 0.00000000 9.3157039 18.631534 27.946555 37.262665 46.578253 55.894102 65.209649 74.525154 83.840926 93.156565 102.47224 111.78784 121.10354 130.41918 139.73483 149.05049 158.36611 167.68177 176.99743 168.14298 171.44235 182.28437 198.05765 207.26711 217.15869 227.61701 238.54710 245.29826 252.17596 259.16704 266.25952 273.44271 280.70682 288.04307 295.44342 305.39782 315.43785 335.72156
15.0000    1 -580471.56 0.00000000 160.01936 -43.932499 0.00000000 -8.0007650 0.00000000 8.0009188 16.002117 24.002937 32.003955 40.004823 48.005862 56.006847 64.007822 72.008902 80.009738 88.010767 96.011727 104.01271 112.01374 120.01467 128.01564 136.01663 144.01760 152.01857 153.83209 164.45493 180.51727 200.12284 210.87272 222.10918 233.74838 245.72114 253.04057 260.44845 267.93515 275.49185 283.11065 290.78440 298.50655 306.27117 316.68079 327.14483 348.19640
16.0000    1 -580662.81 0.00000000 124.39618 -8.6794014 0.00000000 -6.2198628 0.00000000 6.2194954 12.439500 18.659244 24.879353 31.098936 37.318664 43.538456 49.758345 55.978188 62.197875 68.417844 74.637648 80.857347 87.077231 93.297051 99.516873 105.73665 111.95646 118.17626 121.70665 131.93250 146.63706 164.40774 174.13713 184.30791 194.84791 205.69670 212.33263 219.05158 225.84484 232.70452 239.62340 246.59489 253.61308 260.67246 270.14051 279.66235 298.83044
17.0000    2 -581658.25 0.00000000 117.65471 -1.4667522 0.00000000 -11.765442 -5.8828155 0.00000000 5.8825697 11.765507 17.648138 23.530829 29.413424 35.296211 41.178899 47.061799 52.944530 58.827253 64.709939 70.592641 76.475427 82.358154 88.240885 94.123572 100.00632 105.88906 109.99559 120.49557 135.20808 152.77525 162.33963 172.31057 182.62067 193.21363 199.68517 206.23244 212.84736 219.52263 226.25156 233.02811 239.84679 246.70253 255.89332 265.13207 283.71946
18.0000    1 -581515.94 0.00000000 91.337044 -53.342796 0.00000000 -4.5667014 0.00000000 4.5667279 9.1337669 13.700670 18.267395 22.834226 27.401202 31.967839 36.534897 41.101746 45.668460 50.235464 54.802160 59.369014 63.935952 68.502816 73.069620 77.636469 82.203318 86.770172 87.007116 95.507912 109.36055 126.79524 136.48477 146.67820 157.29102 168.25310 174.97313 181.78662 188.68357 195.65508 202.69293 209.78975 216.93886 224.13413 233.79006 243.50633 263.07898
19.0000    1 -578423.94 0.00000000 165.45255 -89.731529 0.00000000 -8.2726894 0.00000000 8.2726808 16.544940 24.817883 33.090503 41.362996 49.635600 57.908390 66.180956 74.453594 82.726276 90.998954 99.271448 107.54413 115.81673 124.08941 132.36198 140.63461 148.90723 157.17986 154.35930 160.80126 173.37118 190.11868 199.64269 209.76963 220.40252 231.46031 238.27006 245.19520 252.22407 259.34610 266.55170 273.83214 281.17948 288.58646 298.54380 308.58125 328.84741
20.0000    2 -581290.19 0.00000000 147.41449 -60.464363 0.00000000 -14.741295 -7.3706945 0.00000000 7.3711230 14.741715 22.112290 29.483121 36.853756 44.224426 51.595326 58.965970 66.336612 73.707383 81.078217 88.448838 95.819606 103.19032 110.56108 117.93180 125.30253 132.67325 132.33766 140.55459 154.38183 172.00149 181.84770 192.23378 203.07061 214.28398 221.16638 228.15002 235.22428 242.37961 249.60723 256.89929 264.24857 271.64849 281.58358 291.58532 311.74464
21.0000    0 -581227.56 0.00000000 161.38658 -31.965179 0.00000000 -16.138735 -8.0696502 0.00000000 8.0691888 16.138518 24.207820 32.277087 40.346240 48.415961 56.485172 64.554511 72.623881 80.693180 88.762418 96.831856 104.90113 112.97047 121.03978 129.10912 137.17844 145.24776 147.36665 157.30082 172.26941 190.61290 200.70410 211.27370 222.24267 233.54518 240.46344 247.47136 254.55951 261.71943 268.94335 276.22425 283.55573 290.93193 300.82728 310.78131 330.82584
22.0000    0 -582916.31 0.00000000 129.73663 17.564728 0.00000000 -12.974061 -6.4869850 0.00000000 6.4867883 12.973395 19.460373 25.947298 32.434076 38.920961 45.407743 51.894400 58.381430 64.868257 71.355007 77.841911 84.328630 90.815557 97.302364 103.78922 110.27605 116.76286 122.81557 135.22289 151.75620 171.06936 181.48482 192.29516 203.43479 214.84880 221.80943 228.84340 235.94279 243.10046 250.30989 257.56513 264.86077 272.19183 282.01398 291.88142 311.71859
